product_id,product_name,category,unit_price,brand
53,Upgradable explicit challenge,Home & Kitchen,266.14,Mason-Davis
54,Multi-lateral motivating access,Toys,59.38,"Allen, Maynard and Holden"
55,Synergized composite system engine,Grocery,457.03,"Taylor, Moore and Knight"
56,Re-contextualized stable circuit,Toys,109.64,"Dennis, Crosby and Williams"
57,Virtual mobile emulation,Grocery,70.46,Baker and Sons
58,Balanced static database,Clothing,224.22,"Velez, Ward and Harrison"
59,Persevering 6thgeneration analyzer,Sports & Outdoors,355.64,"Nguyen, Padilla and Boyd"
60,Grass-roots user-facing firmware,Toys,426.13,"Stephens, Thompson and Valdez"
61,Multi-lateral optimizing projection,Clothing,255.85,Black Group
62,Face-to-face multi-state initiative,Books,120.66,Roth-Reed
63,Polarized real-time ability,Sports & Outdoors,186.35,"Macias, Gonzales and Hall"
64,Profound secondary focus group,Office Supplies,442.47,Hernandez and Sons
65,Multi-lateral real-time structure,Beauty,360.28,Guerrero Group
66,Managed uniform budgetary management,Beauty,39.65,Leonard-Mendoza
67,Reverse-engineered cohesive project,Home & Kitchen,341.01,Johnson-Williams
68,Re-engineered optimizing complexity,Office Supplies,93.44,Soto Inc
69,Re-engineered client-server approach,Beauty,434.5,Scott and Sons
70,Programmable impactful policy,Office Supplies,84.83,"Walsh, Johns and Luna"
71,Horizontal attitude-oriented data-warehouse,Books,470.63,Obrien-Ruiz
72,Polarized composite definition,Home & Kitchen,318.62,Burke-Norton
73,Visionary contextually-based process improvement,Clothing,308.37,"Dixon, Jackson and Jennings"
74,Persevering radical parallelism,Clothing,291.58,Hall Group
75,De-engineered bi-directional adapter,Automotive,303.75,Mills PLC
76,Synergized intangible collaboration,Unknown,432.3,"Davis, Alvarez and Mendez"
77,Automated zero tolerance monitoring,Automotive,107.77,"Goodwin, Davis and Hopkins"
78,Robust needs-based ability,Automotive,250.52,"Banks, Boyd and Wood"
79,Balanced tangible moderator,Toys,153.14,Perez-Lang
80,Visionary homogeneous hardware,Beauty,39.27,"Ballard, Velez and Hood"
81,Re-engineered bandwidth-monitored interface,Grocery,233.83,Scott and Sons
82,Configurable executive policy,Clothing,360.03,"Ortiz, Lopez and Fletcher"
83,Adaptive object-oriented model,Sports & Outdoors,67.99,Meyer Group
84,Streamlined demand-driven solution,Office Supplies,123.14,Ortiz-Rodriguez
85,Optimized solution-oriented paradigm,Grocery,51.12,Green-Herrera
86,Re-contextualized high-level pricing structure,Beauty,210.81,Braun-Sanders
87,Expanded incremental neural-net,Clothing,467.07,"Olson, Wood and Peters"
88,Function-based fault-tolerant orchestration,Books,250.64,Schroeder-Sanders
89,Devolved stable capability,Grocery,250.19,"Hall, Logan and Avery"
90,Cross-platform didactic migration,Beauty,483.44,Hartman-Owen
91,Seamless tangible software,Unknown,142.83,"Williams, Price and Fields"
92,Cross-group client-server leverage,Grocery,7.06,"Graham, Brown and Walker"
93,Configurable real-time alliance,Clothing,364.57,"Cruz, Joyce and Mendez"
94,Programmable executive structure,Unknown,28.43,"Brown, Ayala and Thompson"
95,Proactive leadingedge access,Sports & Outdoors,39.55,Jefferson PLC
96,Horizontal content-based alliance,Office Supplies,494.58,"Dixon, Hale and Gilbert"
97,Synergistic 5thgeneration hierarchy,Home & Kitchen,51.05,Pena and Sons
98,Cross-group even-keeled time-frame,Sports & Outdoors,184.71,Gomez-Foster
99,Reverse-engineered dedicated model,Automotive,251.54,Mclaughlin Inc
100,Cross-group neutral forecast,Clothing,402.57,"Gallegos, Herman and Bailey"
101,Grass-roots directional portal,Clothing,259.21,Gibson Group
102,Re-engineered 24hour firmware,Automotive,198.3,Russell Inc
103,Realigned asynchronous middleware,Toys,255.14,Morgan-Wilson
104,Profound eco-centric monitoring,Grocery,152.0,"Wright, Ramos and Bennett"
105,Polarized zero administration encryption,Sports & Outdoors,57.47,Ali-Ellis
106,Persevering optimizing algorithm,Toys,363.49,Wilson-Jones
107,Sharable zero tolerance definition,Electronics,134.97,"Haynes, Mcbride and Gutierrez"
108,Multi-channeled multi-state monitoring,Automotive,361.54,Haynes LLC
109,Fully-configurable executive array,Clothing,361.43,Nunez-Nicholson
110,Compatible neutral conglomeration,Beauty,341.32,Edwards-Robinson
111,Re-engineered encompassing contingency,Home & Kitchen,222.2,"Vega, Browning and Porter"
112,Exclusive disintermediate support,Beauty,206.96,Salas and Sons
113,Focused dedicated encryption,Grocery,368.71,"Kelly, Maxwell and Wilson"
114,Configurable systematic protocol,Clothing,281.76,Austin-Duran
115,Quality-focused 6thgeneration matrices,Grocery,158.94,Oliver-Vasquez
116,Re-engineered even-keeled matrix,Office Supplies,179.08,Joyce PLC
117,Grass-roots hybrid definition,Toys,98.56,"Anderson, Fox and Henderson"
118,Quality-focused 5thgeneration middleware,Office Supplies,470.92,Long-Parks
119,Enhanced logistical capability,Toys,346.05,"Holmes, Stewart and Smith"
120,Synergistic demand-driven implementation,Grocery,467.05,"Garcia, Ward and Hensley"
121,Enterprise-wide neutral firmware,Toys,288.02,Adams PLC
122,Mandatory high-level contingency,Beauty,477.44,Coleman-Barnes
123,Versatile holistic hierarchy,Unknown,477.79,Ramirez-White
124,De-engineered object-oriented software,Grocery,374.43,Olsen Ltd
125,Future-proofed disintermediate open architecture,Office Supplies,282.32,Chase-Gonzalez
126,User-centric coherent leverage,Home & Kitchen,294.65,Thompson Group
127,Devolved responsive model,Office Supplies,118.72,"Le, Floyd and Evans"
128,Realigned non-volatile application,Sports & Outdoors,52.97,Garcia-Martin
129,Extended eco-centric leverage,Electronics,489.02,"Davis, Garner and Green"
130,Multi-lateral next generation open architecture,Grocery,102.13,Cooper-Jenkins
131,Monitored systematic portal,Sports & Outdoors,32.4,Ray Ltd
132,Streamlined national conglomeration,Automotive,370.13,Kelly-Nunez
133,Pre-emptive zero-defect support,Electronics,90.01,Preston-James
134,Horizontal maximized product,Clothing,21.06,Oneill Ltd
135,Mandatory intangible product,Grocery,375.25,"Duncan, Sweeney and Jones"
136,Diverse global emulation,Toys,7.61,Stewart-Carter
137,Future-proofed real-time project,Home & Kitchen,169.52,Nelson-Wallace
138,Multi-lateral value-added parallelism,Office Supplies,444.96,"Sheppard, Gutierrez and White"
139,Ameliorated clear-thinking superstructure,Office Supplies,98.83,Stanley Ltd
140,Total value-added artificial intelligence,Clothing,325.2,Jackson Inc
141,Cross-platform asymmetric leverage,Electronics,396.01,"Brown, Wise and Warren"
142,Configurable bi-directional firmware,Books,428.5,"Moore, Pena and Mcclure"
143,Integrated discrete encryption,Beauty,46.11,"Mitchell, Sims and Anderson"
144,Down-sized 4thgeneration alliance,Clothing,240.29,"Kelly, Herman and Lin"
145,Persistent needs-based flexibility,Electronics,120.05,"Wallace, Montes and Wolfe"
147,Re-contextualized intermediate moderator,Sports & Outdoors,33.88,"Fowler, Collins and Reed"
148,Quality-focused discrete workforce,Toys,343.98,Ramos LLC
149,Open-source empowering collaboration,Toys,320.44,Smith-Mills
150,Virtual client-driven hardware,Sports & Outdoors,111.91,Harrison-Smith
